InstanceName,HuggingfacePath,Version,Category,Note,Speech,Music,Audio,
L2EnglishProsodic_speechocean762-Ranking,DynamicSuperb/L2EnglishProsodic_speechocean762-Ranking,a0294eb5c868fbc634ca40ac7dee54ffeac11cec,Classification,,TRUE,FALSE,FALSE,
L2EnglishFluency_speechocean762-Ranking,DynamicSuperb/L2EnglishFluency_speechocean762-Ranking,8c88edb31d313581b7a2ce6f349552752f3bb2e3,Classification,,TRUE,FALSE,FALSE,
L2EnglishAccuracy_speechocean762-Ranking,DynamicSuperb/L2EnglishAccuracy_speechocean762-Ranking,b27480351aae310ab3ad3d887322a0e662c14e80,Classification,,TRUE,FALSE,FALSE,
L2EnglishFluency_speechocean762-Scoring,DynamicSuperb/L2EnglishFluency_speechocean762-Scoring,54afc9166f8c0bf128bfadce7d1d1e87d9c506ce,Regression,,TRUE,FALSE,FALSE,
L2EnglishAccuracy_speechocean762-scoring,DynamicSuperb/L2EnglishAccuracy_speechocean762-scoring,0ecb083cac6b7a4045222919a99001956ad784bd,Regression,,TRUE,FALSE,FALSE,
L2EnglishProsodic_speechocean762-Scoring,DynamicSuperb/L2EnglishProsodic_speechocean762-Scoring,de26f7eba1e68796ee0dd0445277d4c1876ebefa,Regression,,TRUE,FALSE,FALSE,
NBestCorrection_LibriSpeech-TestOther,DynamicSuperb/NBestCorrection_Librispeech-TestOther,9a690708e155d53a1b7a4ac20d239c4842a204f0,Classification,No audio input,TRUE,FALSE,FALSE,
SongSeparation_SingSet,DynamicSuperb/SongSeparation_SingSet,a1ff673313e550a457112129985390979c4f10a5,Audio generation,,FALSE,FALSE,FALSE,?
LyricTranslation_SingSet,DynamicSuperb/LyricTranslation_SingSet,cff5200f70d0adb14f5671d85f51d41e1b894eb9,Text generation,,TRUE,FALSE,FALSE,
TargetSpeakerASR_AMItest,DynamicSuperb/TargetSpeaker-ASR_AMItest,1107fc18a7c958614755144f52d14dc5449997f8,Text generation,,TRUE,FALSE,FALSE,
Children_Song_Transcript_Verification_CSD,DynamicSuperb/Children_Song_Transcript_Verification_CSD,64905995d62869f090a893a66597ec373a08c339,Text generation,,TRUE,FALSE,FALSE,
MultiLingualSpeechRecognition_MLS-de,DynamicSuperb/MultiLingualSpeechRecognition_MLS-de,021337e526bf308681ddf65faa3f2a2c87131af9,Text generation,,TRUE,FALSE,FALSE,
MultiLingualSpeechRecognition_MLS-en,DynamicSuperb/MultiLingualSpeechRecognition_MLS-en,dbb12314533c3210aef74585906ee68e34e1ceb4,Text generation,,TRUE,FALSE,FALSE,
MultiLingualSpeechRecognition_MLS-es,DynamicSuperb/MultiLingualSpeechRecognition_MLS-es,a4c9fd01a991aab14c7cc011631dfd59a7a1790a,Text generation,,TRUE,FALSE,FALSE,
MultiLingualSpeechRecognition_MLS-fr,DynamicSuperb/MultiLingualSpeechRecognition_MLS-fr,9bfda0b9287acea523fe3401c284eaa4b76b530e,Text generation,,TRUE,FALSE,FALSE,
MultiLingualSpeechRecognition_MLS-it,DynamicSuperb/MultiLingualSpeechRecognition_MLS-it,a8aaf0ce290af46b9ccfd4852b4dd4164d108764,Text generation,,TRUE,FALSE,FALSE,
MultiLingualSpeechRecognition_MLS-nl,DynamicSuperb/MultiLingualSpeechRecognition_MLS-nl,49ea8d4bc9d582a01d372ba5a178dfb515101c77,Text generation,,TRUE,FALSE,FALSE,
MultiLingualSpeechRecognition_MLS-pl,DynamicSuperb/MultiLingualSpeechRecognition_MLS-pl,90e689ba2ab004e0e2e714b9114905d55646bc56,Text generation,,TRUE,FALSE,FALSE,
MultiLingualSpeechRecognition_MLS-pt,DynamicSuperb/MultiLingualSpeechRecognition_MLS-pt,6f520a76d0e87ea3c7ea9d4aed0720220e9dce71,Text generation,,TRUE,FALSE,FALSE,
SingingVoiceDeepfakeDetection_CtrSVDD_ACEKiSing_M4Singer,DynamicSuperb/SingingVoiceDeepfakeDetection_CtrSVDD_ACEKiSing_M4Singer,4b240fa12d19ef5dc3d6d7f7adfd388f1310c39a,Classification,,TRUE,FALSE,FALSE,
SingingVoiceSynthesis_ACEOpencpop,DynamicSuperb/SingingVoiceSynthesis_ACEOpencpop-Test700,0c79488c60f584ecd5a187ef6569d4e5c639aa5c,Audio generation,No audio input -- Re-format (instruction + score),TRUE,FALSE,FALSE,
SingingAutomaticMOSPrediction_SingMOS,DynamicSuperb/SingingAutomaticMOSPrediction_SingMOS,11a1c63827bd1163208693265f4057c2c7417107,Regression,,TRUE,FALSE,FALSE,
PitchExtractionByLyrics_CSD,DynamicSuperb/PitchExtractionByLyrics_CSD,6c2829446b1029d2e39da3833a5a2f152109cf19,Text generation,,TRUE,FALSE,FALSE,
VocalTechniqueClassification_VocalSet,DynamicSuperb/VocalTechniqueClassification_VocalSet,bb84b8ecadeb80ca27e70e09e053fa465805ee17,Classification,,FALSE,FALSE,FALSE,?
InstrumentSourceClassification_Nsynth,DynamicSuperb/InstrumentSourceClassification_Nsynth,48cd2c67f31a49d8dcc9e8e26de29d550656f96d,Classification,,FALSE,TRUE,FALSE,
PhonologicalFeatureClassification_VoxAngeles-ConsonantPlaceOfArticulation,DynamicSuperb/PhonologicalFeatureClassification_VoxAngeles-ConsonantPlaceOfArticulation,cfca4493f6fdae0cf0e1692a84f64bfad9f8d7b8,Classification,,TRUE,FALSE,FALSE,
PhonologicalFeatureClassification_VoxAngeles-MannerOfArticulation,DynamicSuperb/PhonologicalFeatureClassification_VoxAngeles-MannerOfArticulation,84256fe5fb50862599f0612932348dfff0d77b0f,Classification,,TRUE,FALSE,FALSE,
PhonologicalFeatureClassification_VoxAngeles-Phone,DynamicSuperb/PhonologicalFeatureClassification_VoxAngeles-Phone,56be3e23c7673c6819a89515eadb5a691eac6f2b,Classification,,TRUE,FALSE,FALSE,
PhonologicalFeatureClassification_VoxAngeles-VowelFrontness,DynamicSuperb/PhonologicalFeatureClassification_VoxAngeles-VowelFrontness,33c654f8d66dd55a06f7c31345888200a00591d9,Classification,,TRUE,FALSE,FALSE,
PhonologicalFeatureClassification_VoxAngeles-VowelHeight,DynamicSuperb/PhonologicalFeatureClassification_VoxAngeles-VowelHeight,c2eab10ade7373af7cdcd09070883a38d1a66007,Classification,,TRUE,FALSE,FALSE,
PhonologicalFeatureClassification_VoxAngeles-VowelRoundedness,DynamicSuperb/PhonologicalFeatureClassification_VoxAngeles-VowelRoundedness,30a671a9dae473d8a79b70d81d2571d79a765632,Classification,,TRUE,FALSE,FALSE,
